c,largest_lyapunov_exponent,z_span
2.344999999999999751e+00,2.040926558844556767e-03,2.229364519034728431e+00
2.350000000000000089e+00,2.076572111469196773e-03,2.226089856013504065e+00
2.354999999999999982e+00,-9.621863016642163589e-04,2.222650750447774382e+00
2.359999999999999876e+00,-4.214030678071754681e-03,2.219093432999486026e+00
2.365000000000000213e+00,-3.633927909971764077e-03,2.215447360013796274e+00
2.370000000000000107e+00,1.850824279495080554e-03,2.211732525175198916e+00
2.375000000000000000e+00,-3.126156976833651020e-04,2.207963851807431599e+00
2.379999999999999893e+00,5.472979737335833227e-04,2.204151763154599486e+00
2.384999999999999787e+00,3.030071329263615571e-03,2.200304827123850782e+00
2.389999999999999680e+00,-3.777233390110678202e-03,2.196429726414861339e+00
2.395000000000000018e+00,1.182256082433186112e-01,1.882248025815781434e+00
2.399999999999999911e+00,7.673235059453092921e-02,1.861008055664780780e+00
2.405000000000000249e+00,1.956508283250785706e-03,1.839523818478388861e+00
2.410000000000000142e+00,2.025496867647746512e-03,1.816595147193691417e+00
2.415000000000000036e+00,3.813998210496421593e-04,1.799971082927837474e+00
2.419999999999999929e+00,-1.535270420672056905e-03,1.779901588046450378e+00
2.424999999999999822e+00,1.180889999047385688e-03,1.746415630378145067e+00
2.429999999999999716e+00,8.272020230636888431e-04,1.727476511924202596e+00
2.435000000000000053e+00,1.843048508018589344e-03,1.720821348398431372e+00
2.439999999999999947e+00,-2.973882727268021154e-03,1.714025414755550036e+00
2.445000000000000284e+00,-5.885389171445162305e-03,1.706971940376363017e+00
2.450000000000000178e+00,-1.666962113030051812e-03,2.149702888407888146e+00
2.455000000000000071e+00,-6.516837458350987740e-04,2.146734532518578042e+00
2.459999999999999964e+00,-9.996430626867057988e-04,2.144945841124603625e+00
2.464999999999999858e+00,-4.606696162854384893e-03,2.144515433575300722e+00
2.469999999999999751e+00,5.246495894135971101e-04,2.143457871218035216e+00
2.475000000000000089e+00,2.565910161067094363e-03,2.148699009958225936e+00
2.479999999999999982e+00,5.186231226652376035e-03,2.150874709201973101e+00
2.484999999999999876e+00,3.584276194164039402e-03,2.152446271440571213e+00
2.490000000000000213e+00,-5.731934802569861424e-03,2.153102891876629066e+00
2.495000000000000107e+00,2.698457728027639068e-03,2.153185952702320716e+00
2.500000000000000000e+00,1.741222283894343424e-04,2.152870865295311020e+00
2.504999999999999893e+00,-2.561930565852175035e-03,2.152261409867051167e+00
2.509999999999999787e+00,-4.589303889601790976e-03,2.151425562331437114e+00
2.514999999999999680e+00,-4.244578611453819587e-03,2.150410300643529560e+00
2.520000000000000018e+00,-9.964821647110088613e-04,2.149249913348123098e+00
2.524999999999999911e+00,-3.773031352462456289e-05,2.147970276618871299e+00
2.530000000000000249e+00,-7.835734115915983424e-04,2.146591454971058965e+00
2.535000000000000142e+00,1.915101083963510189e-03,2.145129449235894992e+00
2.540000000000000036e+00,-1.961876003913426425e-03,2.143597150693171915e+00
2.544999999999999929e+00,6.335584146322396698e-04,2.142005150940493152e+00
